2	0.5376	3.1052	1.0663	NaN	-82.22	-11.96	0.34	4.24	0.09	0.03	0.49	0.68	0.04	0.57	0.11	0	1.88
2	0.5729	2.9043	1.1116	NaN	-81.27	-12.15	0.02	4.55	0.01	0.03	0.57	0.71	0.03	0.63	0.08	-0.01	1.82
2	0.5395	2.5329	1.0228	NaN	-82.69	-12.31	0.01	4.23	0.01	0.03	0.57	0.67	0.03	0.65	0.09	-0.01	0.81
2	0.8697	2.6577	1.1567	NaN	-84.11	-12.45	0.08	4.33	0.01	0.01	0.36	0.63	0.02	0.65	0.02	-0.01	0.74
2	0.613	2.1868	1.3321	NaN	-85.46	-12.83	0.03	3.63	0.01	0.02	0.37	0.61	0.02	0.86	0.01	-0.01	1.47
2	0.604	2.0036	1.4017	NaN	-88.59	-13.33	0.06	3.13	0.01	0.07	0.57	0.48	0.03	0.44	0.07	-0.01	0.74
2	0.5732	1.6508	1.4044	NaN	-89.74	-13.17	0.08	2.49	0.01	0.05	0.58	0.39	0.03	0.35	0.07	0	0.09
2	0.5524	1.445	1.5961	NaN	-90.39	-13.59	0.17	2.34	0.11	0.24	0.59	0.38	0.03	0.36	0.13	0.01	0.02
2	0.7067	1.4236	1.8291	NaN	-91.31	-13.77	0.12	2.15	0.03	0.05	0.51	0.35	0.03	0.33	0.07	0	0.05
2	0.5521	1.4731	1.9711	NaN	-90.16	-13.51	0.11	2.03	0.01	0.04	0.5	0.33	0.04	0.31	0.07	-0.01	0.07
2	0.5438	1.5469	2.0294	NaN	-89.78	-13.31	0.14	2.73	0.01	0.07	0.31	0.35	0.04	0.43	0.02	0	0.16
2	0.5835	2.1105	2.0513	NaN	-89.67	-13.38	1.52	2.64	0.23	0.37	0.54	0.44	0.04	0.48	0.63	0.03	0.03
2	0.7358	1.727	2.036	NaN	-89.36	-13.26	-0.01	2.23	0	0.03	0.04	0.3	0	0.43	-0.08	0.05	0.05
3	0.7317	2.1676	1.2063	NaN	-83.71	-12.56	0.04	3.16	0.01	0.02	0.51	0.52	0.02	0.49	0.07	0.01	1.26
3	0.6561	2.0958	1.1397	NaN	-83.87	-12.45	0	2.69	0	0.01	0.02	0.36	-0.01	0.4	-0.08	-0.01	0.39
3	0.5547	1.7252	0.9909	NaN	-86.79	-12.83	0.06	2.5	0.01	0.02	0.33	0.35	0.02	0.71	0.01	0	0.24
3	0.5022	1.4854	1.1918	NaN	-88.68	-13.14	0.1	2.37	0.02	0.05	0.55	0.33	0.03	0.36	0.08	0	0.06
3	0.5638	1.3952	1.2817	NaN	-89.72	-13.3	0.07	2.07	0.01	0.02	0.27	0.25	0.02	0.29	0.01	0	0.08
3	0.5672	1.348	1.4572	NaN	-90.64	-13.46	0.09	2.13	0.01	0.02	0.27	0.27	0.02	0.33	0.01	0	0.08
3	0.4995	1.3417	1.5113	NaN	-90.88	-13.51	0.07	1.91	0.01	0.02	0.34	0.3	0.03	0.27	0.07	-0.01	0.03
3	0.4838	1.6408	1.4081	NaN	-87.74	-13.18	0.06	2.7	0.01	0	0.29	0.39	0.02	0.67	0.01	0	0.15
4	0.577	1.8251	1.2486	NaN	-88.13	-13.08	0.02	2.52	0	0.02	-0.01	0.33	-0.01	0.42	-0.08	0	0.4
4	0.5661	2.4882	1.0872	NaN	-83.77	-12.51	0.02	3.55	0.02	0.01	0.49	0.59	0.02	0.58	0.07	0.01	1.52
5	0.5916	2.2409	0.9922	NaN	-86.88	-12.84	0	2.96	0	0.04	0.03	0.42	-0.01	0.5	-0.05	-0.01	0.89
