Sample ID,Site,Date,Time,Type,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes,EM notes
RI23-5005,Wade,02/15/2023,12:00,Snowmelt lysimeter 2/15,,WD_snow_lysmtr_021523,-0.007382155,0.002961813,0.000567562,-0.001676279,0.18544433,0.483999523,-0.016724087,0.210295175,-0.778613816,0.017610823,0.764609235,,1.822968034,0.80210356,,2.45898375,1.597084061,3.54367992,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-109.383,-15.682,Dry lys,
RI23-5018,Wade,03/10/2023,12:00,Groundwater Bear Pond,need to verify bear pond see ICP log,Bear_Pond_031023,-0.006055875,-0.003026873,-0.001228727,-0.005499911,1.689151505,0.181631256,-0.01777371,0.831397948,-0.548253279,0.015540279,5.788055452,,,,,,,,,,-72.071,-11.116,Grab - MED is it gw though?,
RI23-5006,Wade,03/01/2023,12:00,Groundwater High Pond,well,High_Pond_031023 is it march 1st or 10th,-0.008999159,-0.003347686,-0.000665278,-0.000761201,1.883644279,0.28598758,-0.019510879,0.425312813,-0.282933665,0.00428736,6.847131002,,1.752880691,,,1.717066079,,10.92170103,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-76.119,-11.57,Grab - MED is it gw though?,
RI23-6001,Wade,03/10/2023,12:00,Groundwater ave,,,-0.007527517,-0.0031872795,-0.0009470025,-0.003130556,1.786397892,0.233809418,-0.0186422945,0.6283553805,-0.415593472,0.0099138195,6.317593227,,1.752880691,,,1.717066079,,10.92170103,,,-74.095,-11.343,,Ave of GW endmembers
RI23-5009,Wade,03/16/2023,12:00,Soil water lysimeter dry,,WD_lysmtr_031623,0.10096043,0.00522485,0.001129239,0.108481069,0.60254712,0.49268935,-0.046166885,0.334881921,-1.21894769,0.415918292,0.536311389,,1.905036884,,,3.712501258,1.597330099,4.732060342,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-89.934,-13.33,Dry lys,
RI23-1034,Wade,03/22/2023,13:15,Pre-event,need to verify type,,0.014531273,-0.000324202,-0.001263254,-0.001188526,1.74915951,0.259249227,-0.012961239,0.522326467,-0.721376146,0.029131806,3.704749272,,1.0499,0.4131,,1.6848,1.1272,4.6922,,,-81.364,-12.059,,
RI23-1063,Wade,03/28/2023,12:00,Snowmelt lysimeter,,,-0.007382155,0.002961813,0.000567562,-0.001676279,0.18544433,0.483999523,-0.016724087,0.210295175,-0.778613816,0.017610823,0.764609235,,1.2092,0.4249,,2.03,,1.3209,time is arbitrary,,-95.26,-14.233,,cations from 2/15/2023 SML because not run for this sample
