Sample ID,Site,Date,Time,Type,NRS_LWIA_notes,dD,d18O,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Notes
RI23_1025,Wade,2/15/2023,12:00,,,-78.111,-11.784,,,,,,,,0.016031573,0.004307287,-0.001298871,0.074909673,1.327972174,0.239991482,-0.02314997,0.463008907,-0.73109936,0.033283942,3.486294451,
RI23-1026,Hungerford,2/15/2023,14:00,Grab/Isco,,-71.186,-10.577,NA.,36.0978,NA.,NA.,25.2192,1.6233,24.5824,,,,,,,,,,,,
RI23-1027,Hungerford,2/16/2023,10:30,Grab/Isco,,-74.385,-11.008,0.1184,23.8431,0.4163,NA.,15.7319,1.613,17.4841,0.090109524,0.009449742,0.000991606,0.026253344,2.347823331,3.006947951,0.024201031,5.451364482,11.16684538,0.003050048,32.10081128,
RI23-1028,Wade,2/16/2023,14:00,Grab/Isco,,-82.344,-12.322,NA.,0.9358,NA.,NA.,2.0338,1.1228,3.3116,-0.009587806,-0.015518503,0.00014913,-0.009241594,0.111252842,0.027338712,-0.043340331,0.355761069,-0.843103148,-0.015583988,2.800026844,
RI23-1028,Wade,2/16/2023,14:00,Grab/Isco,,-82.344,-12.322,NA.,0.948,0.4168,NA.,2.0177,NA.,3.3358,0.000784369,-0.000537032,-0.00133881,-0.004806816,0.103439309,0.239877847,-0.023028727,0.36110916,-0.798507185,0.012107569,2.673882905,
RI23-1029,Wade,2/16/2023,20:00,Grab/Isco,,-82.319,-12.33,NA.,0.939,NA.,NA.,1.6933,NA.,3.3321,-0.012384247,-0.008662746,-0.000313138,-0.011986366,0.227336303,0.037369845,-0.049723206,0.354200029,-0.811686654,-0.011236236,2.688623583,
RI23-1030,Wade,2/17/2023,2:00,Grab/Isco,,-81.816,-12.347,NA.,0.9883,NA.,NA.,1.7558,NA.,3.4961,0.000791566,0.002196834,-0.000602125,-0.006399335,0.20634927,0.24821908,-0.015888774,0.389891339,-0.750371788,0.010405868,2.853083243,
RI23-1031,Wade,2/17/2023,8:00,Grab/Isco,,-81.36,-12.34,NA.,0.977,NA.,NA.,1.7252,1.1813,3.6009,-0.011173113,-0.015727172,0.000136194,-0.013420533,0.229726952,0.022915938,-0.048673187,0.379438037,-0.807704389,-0.012059859,2.819701444,
RI23-1032,Wade,2/17/2023,11:30,Grab/Isco,,-80.657,-12.075,NA.,1.0107,NA.,NA.,1.7933,1.1908,3.6512,-0.001828615,-0.002236324,-0.00145954,-0.004198752,0.635231917,0.232023301,-0.015775932,0.386433348,-0.796006763,0.010952677,2.853683177,
RI23-1033,Hungerford,2/17/2023,13:30,Grab/Isco,,-72.18,-10.942,0.0997,28.1505,NA.,NA.,17.758,1.2211,20.3349,-0.002685641,-0.012631921,0.000548769,-0.014051836,1.915448603,2.611894333,0.002842557,5.969457735,12.58502882,-0.04164915,23.75394204,
RI23-1034,Wade,3/22/2023,13:15,Grab/Isco,,-81.364,-12.059,NA.,1.0499,0.4131,NA.,1.6848,1.1272,4.6922,0.014531273,-0.000324202,-0.001263254,-0.001188526,1.74915951,0.259249227,-0.012961239,0.522326467,-0.721376146,0.029131806,3.704749272,
RI23-1035,Hungerford,3/22/2023,15:00,Grab/Isco,,-75.462,-11.153,0.1418,44.9281,NA.,NA.,25.7819,NA.,26.9727,0.080686091,0.039445908,0.000206012,0.002716037,2.304313123,3.343251836,0.054388067,8.181779886,18.24564446,-0.025073046,51.81826641,
RI23-1036,Hungerford,3/22/2023,18:00,Grab/Isco,,-75.114,-11.054,0.1346,42.1843,0.4199,NA.,26.0839,NA.,28.041,0.097364433,0.04733585,0.001176209,-0.003253536,2.156339613,3.387667644,0.071506444,8.108993502,16.96043032,-0.020081799,53.38764974,
RI23-1037,Hungerford,3/23/2023,0:00,Grab/Isco,,-78.838,-11.486,0.1559,36.2323,NA.,NA.,21.5788,NA.,22.3777,0.05168443,0.017541903,0.001691888,-0.0037134,1.833135983,4.077833323,0.078774057,6.636894845,13.88451896,-0.001283258,36.18492152,
