Sample ID,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,UVM-AgLab-ICP-notes-MED
RI24-1136,0.063,0.004,0.006,-0.004,2.201,2.443,0.047,6.063,12.026,-0.022,33.633,UVM-Aglab_2024-03-28 run at UVM
RI24-1137,0.033,-0.003,0.007,-0.001,3.855,2.795,0.084,5.902,11.556,-0.023,32.815,UVM-Aglab_Replaced with Si run values
RI24-1138,0.067,0.005,0.007,0.001,4.181,2.983,0.097,6.091,11.78,0.003,33.717,UVM-Aglab_Replaced with Si run values
RI24-1139,0.07,0.003,0.007,-0.003,2.698,2.863,0.085,6.032,11.77,-0.002,33.633,UVM-Aglab_Replaced with Si run values
RI24-1140,0.042,0.003,0.007,0,3.182,2.742,0.077,5.938,11.757,-0.021,33.592,UVM-Aglab_Replaced with Si run values
RI24-1153,0.044,0.02,0.007,-0.002,3.974,2.611,0.086,6.252,11.999,-0.031,34.871,UVM-Aglab_Replaced with Si run values
RI24-1154,0.02,0.002,0.006,0.001,1.608,0.672,0.038,0.335,0.497,0.032,2.552,UVM-Aglab_Replaced with Si run values
RI24-1155,0.01,0.034,0.007,0.01,3.486,3.386,0.131,12.883,125.959,-0.046,43.587,UVM-Aglab_Replaced with Si run values
RI24-1156,0.016,0.033,0.007,0.009,4.308,3.573,0.142,12.922,121.113,-0.05,44.483,UVM-Aglab_Replaced with Si run values
RI24-1157,0.016,0.039,0.007,0.026,2.099,3.783,0.14,13.586,122.862,-0.053,46.288,UVM-Aglab_Replaced with Si run values
RI24-1158,0.013,0.043,0.007,0.006,2.13,3.743,0.141,13.259,121.304,-0.053,46.163,UVM-Aglab_Replaced with Si run values
RI24-1159,0.029,0.059,0.006,0.001,3.224,3.854,0.151,13.763,130.339,-0.052,47.289,UVM-Aglab_Replaced with Si run values
RI24-1160,0.029,0.072,0.007,0.002,2.593,3.727,0.145,13.808,129.496,-0.048,47.215,UVM-Aglab_Replaced with Si run values
RI24-1161,0.025,0.051,0.007,0.028,1.721,3.84,0.134,14.066,128.891,-0.05,48.186,UVM-Aglab_Replaced with Si run values
RI24-1162,0.037,0.057,0.006,-0.001,1.956,3.789,0.141,14.244,126.871,-0.051,48.899,UVM-Aglab_Replaced with Si run values
RI24-1163,0.036,0.017,0.007,-0.002,3.599,3.009,0.097,6.057,12.508,-0.024,33.844,UVM-Aglab_Replaced with Si run values
RI24-1164,0.02,0.016,0.007,0.029,0.604,0.905,0.038,0.335,0.899,0.036,2.492,UVM-Aglab_Replaced with Si run values
