Sample ID,Landis Sample ID,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L
RI24-1059,DartmouthID_duffy-030625-041,0.0448862550430986,0.00451667024714831,4.91480575907341,0.0279105852476512,0.253491218488339,0.713538557589291,0.00706408109242355,0.770332020389359,0.00439829767787988,1.37611646833708,3.21585743377651,0.0310476711305984,0.00893897605967548
RI24-1060,DartmouthID_duffy-030625-042,0.0518004334034159,0.00442726679377234,5.25284955301342,0.0338239679325236,0.964051231135432,0.766735675450636,0.00812298197887248,0.834903818253298,0.00428837102775971,1.48795101821602,4.26896448850787,0.0331093676179618,0.0546036059633197
RI24-1061,DartmouthID_duffy-030625-043,0.038680323684474,0.00296346789853464,2.84726416323815,0.0249810685862327,0.139403597536116,0.417161393366296,0.00536020159050306,0.41555835581789,0.00383287409527181,0.795984956338635,2.55598100731999,0.0179747371682053,0.00380420042248871
RI24-1062,DartmouthID_duffy-030625-044,0.0197748350979098,0.00471954424479888,3.63269013402194,0.0150609143495344,0.186293625847624,0.547033917431826,0.00403714073690646,0.558516039843934,0.00402361079741434,1.0332799775178,2.36966805114638,0.0228529742966672,0.00699881530982384
RI24-1063,DartmouthID_duffy-030625-045,0.013477778905667,0.00801322341095941,20.8266828178601,0.0477342562614435,1.8587672468399,6.85743202849698,0.0191625689277231,15.3110307959129,0.0160864575551143,5.12065702274874,3.80433343084662,0.115583996321464,0.00680162587590788
RI24-1064,DartmouthID_duffy-030625-046,0.00802122940459251,0.0191688595280883,36.9602816211563,0.0280914050177682,3.17502287026636,12.3245356494279,0.0341624315975675,25.117532506696,0.0252594593839047,10.1481292662102,6.89782575598375,0.201463056287082,0.0119220644732937
RI24-1065,DartmouthID_duffy-030625-047,0.00835635562401526,0.0148440253579439,38.1720335017454,0.0331049073712447,2.44057246168356,9.52522990638329,0.027047905343652,19.3557820040551,0.0210297192662844,7.94620835848717,6.85801132826089,0.193288563019419,0.00786240112618732
RI24-1066,DartmouthID_duffy-030625-048,0.012273792562842,0.0243027939976854,55.7682813497283,0.0373943175742122,5.12611497734332,19.4579743705775,0.0557035840926149,40.0418518599158,0.035941480347055,15.8152640697329,9.29493170253931,0.298699647974488,0.0150839757780701
RI24-1067,DartmouthID_duffy-030625-049,0.00865691387055134,0.0137906270634291,35.8719618231252,0.0390193629203064,2.57263918476367,10.3169704347697,0.020406017625521,21.8845513039273,0.0171052367718832,8.33254898900059,4.32330220852913,0.189361582029638,0.00558205583278651
RI24-1068,DartmouthID_duffy-030625-050,0.0119584686241912,0.0158954028154322,40.1756935855576,0.0534297910906383,2.662374202092,10.6747739690245,0.0268698799351859,23.0945458415071,0.0192785888401075,8.74398448672355,5.77356314133072,0.204248743199041,0.00986297461922844
RI24-1069,DartmouthID_duffy-030625-051,0.0101708446214847,0.0122016095299594,29.7787816544345,0.0485118712975007,2.18667062982593,8.4629283070511,0.022739774197488,18.025494647917,0.017315776188363,6.88460904735039,6.64071197233953,0.163741367771346,0.00569592886142029
RI24-1070,DartmouthID_duffy-030625-052,0.0161960377380061,0.0135652066593764,34.5433198358749,0.0480623634382958,2.13860779825174,8.63338060920663,0.0227550996171279,18.506355096887,0.0201689316821703,6.94828540213276,5.84786572820238,0.177479854415032,0.00661848797882298
RI24-1071,DartmouthID_duffy-030625-053,0.00578524163880128,0.00998364179850048,30.9702017919153,0.0272925838482701,2.66190189118079,10.7083225889703,0.015371750057276,23.3719513354283,0.0175628167424468,8.59144422830707,3.09287678717861,0.171727858089535,0.00453823821063859
RI24-1072,DartmouthID_duffy-030625-054,0.0146557294789436,0.0166344990464163,48.1376136912677,0.0382235032850354,4.02084063984112,15.4056760236409,0.0266342077739903,32.8745337354263,0.025779872477544,12.0395182754275,4.70528642700327,0.266714701957544,0.00505327608503204
RI24-1073,DartmouthID_duffy-030625-055,0.0178410603094607,0.0106295874507548,29.2426288488556,0.0551387928576897,2.46123021305961,9.35634041382903,0.0181589301951834,20.1478724419219,0.0220159373478804,7.31255200392369,3.47810762189555,0.163883693848128,0.0199317920263132
RI24-1074,DartmouthID_duffy-030625-056,0.0191188029155065,0.00947461981325194,23.9330690576766,0.0507852558128817,2.25093159887812,8.55911909342004,0.0166567825083881,18.7268666787669,0.0199826311501114,6.73559006306996,3.84085711979441,0.135777609036,0.00514507198325215
RI24-1075,DartmouthID_duffy-030625-057,0.0307686608938221,0.0118100090911588,29.289449940873,0.0691440598844456,1.81986128239894,7.07479683764768,0.0192435736143367,15.5837372860965,0.0206245132976624,5.46735336887557,4.35168747996914,0.156419382703414,0.005855226537555
RI24-1088,DartmouthID_duffy-030625-058,0.0410828999617895,0.00408220664175992,4.25850618982023,0.0277439019150313,0.293426438381717,0.592081715897824,0.0103452870301642,0.733640662759469,0.00786461807185834,1.21868154985751,2.87160375788355,0.0279990993831062,0.0172627092834415
RI24-1089,DartmouthID_duffy-030625-059,0.00976950383966543,0.00327153845939932,3.83394760169854,0.0148410470559131,0.149225119818699,0.570232018777689,0.0042334492858608,0.620729783800029,0.00338406909284432,1.14335664828305,3.6833309987522,0.0240874063012853,0.00384173492271117
RI24-1090,DartmouthID_duffy-030625-060,0.0110558860145846,0.00333520963615045,3.66480726080928,0.0164337235068582,0.153552794498599,0.540202900498435,0.00507192512605672,0.595518011809128,0.00391367646850713,1.09850370402581,3.28104489893721,0.023432139763248,0.00551988637378773
RI24-1091,DartmouthID_duffy-030625-061,0.0176400616157811,0.013113424224969,27.8519278282465,0.0462429236707209,2.50418559195805,6.93299252793567,0.0124579680045812,15.2896936523867,0.0214355980423358,5.3489123626978,6.04625985224194,0.140979055799044,0.00187654236083281
RI24-1092,DartmouthID_duffy-030625-062,0.0136380426210962,0.0089475016702932,21.2526220846992,0.0349558621268323,3.36578997800916,8.88312079552799,0.00937379188159759,19.9751203530615,0.0196009541302753,6.33054913039778,4.94768585416543,0.124220605946167,0.0013206972677164
RI24-1093,DartmouthID_duffy-030625-063,0.0275293201398373,0.0163660463994845,30.3062088767852,0.0615895051867968,3.62766024065274,6.92948509605985,0.0151642097648755,15.3249308773221,0.0998388776208596,5.08179299931693,5.53652747651362,0.142684769394366,0.00291573456741042
