Sample ID,dD,d18O,NRS_LWIA_notes
RI24-1408,-104.685,-15.081,
RI24-1410,-104.411,-15.212,
RI24-1411,-104.173,-15.105,
RI24-1413,-86.951,-12.404,
RI24-1414,-86.118,-12.429,
RI24-1415,-123.809,-17.231,
RI24-1416,-62.853,-9.877,
RI24-1417,-86.159,-12.902,
RI24-1418,-123.17,-17.298,
RI24-1419,-60.017,-9.172,
RI24-1420,-100.162,-14.696,
RI24-1421,-93.003,-13.846,
RI24-1422,-150.36,-21.373,
RI24-1423,-167.129,-23.518,
RI24-1424,-114.401,-16.056,
RI24-1094,-96.514,-13.525,
RI24-1217,-80.318,-11.753,
