Sample ID,Site,Date,Time,Type,Type2,Index-notes,d18O,dD,HCO3_mg_L,Cl_mg_L,SO4_mg_L,Si_mg_L,Na_mg_L,Mg_mg_L,K_mg_L,Ca_mg_L,Mn_mg_L,ICP-notes
PR-12685,PR Woodland,08/09/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-16.09,-118.8,85.7,3.7129,11.8177,2.905,2.34729747895549,5.80114820282106,0.634939560753237,24.9352353394524,0.00565412156787428,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12686,PR Hailstone,08/09/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.49,-117.8,111.6,11.7554,8.6954,6.301,5.9334434753621,6.46023021963776,1.08372375479408,26.9083376685115,0.013481120757197,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12704,PR Soapstone,09/09/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-14.2499117713814,-104.539992746178,12.2950819672131,0.702,0.9322,0.8205,0.677382273138378,0.700109687251113,0.283992888686969,2.48586753019965,0.00539995513795903,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12705,PR Woodland,09/09/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-15.9243891196215,-115.240306282175,85.4746888277512,2.4499,11.5269,2.868,2.08660401560179,5.39119362407359,0.719712937285449,22.641839815773,0.00565841835458343,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-12706,PR Hailstone,09/09/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-16.2302984133507,-119.006103456665,94.2622950819672,6.9663,12.0905,4.89,4.2222044442932,6.5385046829118,1.00552239054344,27.0925852669069,0.0112761116342948,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13261,PR Soapstone,12/02/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-16.0146410785465,-116.605695005401,15.7,1.9193,2.1086,1.532,1.22495695174894,1.17801341339051,0.375379411167258,3.71241164665987,0.0070694840048187,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13262,PR Woodland,12/02/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-17.1194389972778,-122.105469292655,103.1,4.4656,17.8142,4.099,2.99688475405869,7.19825286974691,0.826496445938374,29.8859032146664,0.00790564069453556,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13263,PR Hailstone,12/02/2016,12:00,Grab,Stream,MED added artificial times and type assignments,-16.8885358191983,-121.826856444004,142.8,6.9648,12.9138,4.183,4.15597542508733,8.26561023651609,0.872982270062255,32.7408728099291,0.0156066777335053,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13350,PR Soapstone,02/25/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-15.3396432587862,-115.585398860425,15.5,2.1233,1.7716,1.58,1.21620799257027,1.01962247126943,0.361557545079339,3.40109556537144,0.00556456549751514,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13351,PR Woodland,02/25/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.5752074539526,-123.427856897124,100,12.1875,16.6139,3.745,5.54987679436114,6.4411201166884,0.790918836599837,26.1145611281036,0.00980171092070323,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13352,PR Hailstone,02/25/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.4606258042458,-125.228004131432,117.8,44.5615,16.8623,5.396,18.0037387170115,7.67507740865619,0.887010964498964,32.5482495753923,0.102888406873776,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13376,PR Soapstone,03/17/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.1218102644112,-117.004142967076,12.6,3.1186,1.788,1.693,1.60461469355787,0.927182172180487,0.370947395444513,2.96210049772345,0.00370842446301496,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13377,PR Woodland,03/17/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.83104177145,-122.634597838688,44.2986908614073,12.7906,5.8143,2.784,5.70484835066367,3.06330512159088,0.629827449198862,13.2437493364373,0.00793307208823278,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13378,PR Hailstone,03/17/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.8236157473592,-123.302027213422,72.8235440316358,20.6013,9.1951,,7.89428393240102,5.36358687516988,0.848866902929433,22.2393362958578,0.0210848784317734,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13380,PR Soapstone,03/31/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.6855583195648,-125.317463658895,11.9728445828716,1.9754,1.7003,1.656,1.29737531966556,0.883917817776138,0.356774234123353,2.86758036286601,0.00293357989668871,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13381,PR Woodland,03/31/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.9969340152285,-127.99559053554,81.9672131147541,11.1907,5.3816,4.006,6.86453797715158,5.25789418882096,0.933567944155009,22.6631821734081,0.0327825436926425,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13382,PR Hailstone,03/31/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.0102397060345,-129.104262579785,38.9270704365079,14.5931,7.6319,2.802,5.28762723207067,3.08042594895731,0.597621285708156,13.6506181876559,0.00685509699201279,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13384,PR Soapstone,04/07/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.6173025039814,-120.680125,13.3,1.8603,1.6876,1.673,1.83656756460987,0.976804465221009,0.385479731497122,3.93676610835716,0.00546055630717332,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13385,PR Woodland,04/07/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.912568675593,-127.035822765327,51.7,7.9266,5.3696,2.868,5.49388617571135,3.37070468827147,0.575678875059788,14.6536184267395,0.0117716394866167,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13386,PR Hailstone,04/07/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.6705252672054,-124.786004231951,77.8688524590164,14.3077,8.0339,3.104,8.37336239450941,5.83038666106654,0.729433714848906,24.8155337445183,0.0390226269421098,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13388,PR Soapstone,04/14/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.16,-127.4,16.4,1.6213,1.6005,1.716,1.62224736791427,0.889230615874791,0.387097280492207,3.6046029937824,0.00609600509021823,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13389,PR Woodland,04/14/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.28,-127.4,40.9836065573771,4.6548,3.7933,2.895,3.76693454075797,2.62218019772238,0.57448751184893,11.7233338902353,0.0113340044302935,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13390,PR Hailstone,04/14/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.0975340500431,-126.646593838784,84.9,8.3642,6.0996,3.185,5.9000572646283,4.75665421718504,0.74548462689564,21.1656713979812,0.0303418143286793,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13402,PR Soapstone,04/28/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.9934241649011,-124.336284414804,18,1.9052,1.6867,1.8825728608975,1.56816766362731,1.13760481947601,0.377869243996793,4.33635718543166,0.00513652328418389,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13403,PR Woodland,04/28/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.9977642634252,-124.74632371399,49.1803278688525,5.0345,4.473,2.972,4.06849692915763,3.32979764421065,0.548146821591007,15.1323428858294,0.0111604862697858,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13404,PR Hailstone,04/28/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.9127610409998,-124.904609216654,97.2,10.3225,6.4579,3.127,6.86259214630873,5.50372684755317,0.639808142828597,24.1823610237483,0.0427140785723221,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13406,PR Soapstone,05/04/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.1206237064377,-126.485742046923,17.8,1.5618,1.5135,1.658,1.7925421131309,1.26056926315043,0.445784799307376,4.69012499289806,0.00636894791487245,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13407,PR Woodland,05/04/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.1299309899648,-126.775227600262,46.3,4.126,4.1974,2.866,3.52815264387047,3.11800041788556,0.535993647074051,14.337188422173,0.00958777521411947,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13408,PR Hailstone,05/04/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.8346392675651,-125.772283060138,73.7704918032787,7.1978,6.1302,2.683,5.30164890004094,5.31397845544197,0.647432256775653,23.6817341941139,0.0245910723845716,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13410,PR Soapstone,05/11/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.6691263480563,-129.500525072932,24.59,0.9829,1.3718,1.576,1.04014958134838,1.33208802064283,0.359196841163886,6.14430225394441,0.00530023854288838,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13411,PR Woodland,05/11/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.4610986598608,-127.899195576151,47.8,2.3014,2.3139,2.737,2.26685474606094,2.33479952498238,0.565763273365983,11.6169636559492,0.0121684235209191,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
