Sample ID,Site,Date,Time,Type,Type2,Index-notes,d18O,dD,HCO3_mg_L,Cl_mg_L,SO4_mg_L,Si_mg_L,Na_mg_L,Mg_mg_L,Al_mg_L,K_mg_L,Ca_mg_L,Mn_mg_L,Fe_mg_L,ICP-notes
12253,PR Soapstone,10/28/2015,12:00:00 PM,Grab,Stream,MED added artificial times and type assignments,-14.98,-114.2,26.5092789360173,1.6089,2.0691,1.23018672915639,1.1037450855384,1.59136811796594,0.00947070889621557,0.303036100317583,5.54005908863907,0.00980285248290075,0.0427375349898935,Replaced any <DL limit values with NA
12254,PR Woodland,10/28/2015,36:00:00,Grab,Stream,MED added artificial times and type assignments,-15.4,-122.8,109.2,3.311,15.9377,4.08199529492997,2.80017308338478,7.13260856162557,0.00336152932626175,0.866217722357928,24.6668089986416,0.00617758132111949,0.0593983637194035,Replaced any <DL limit values with NA
12255,PR Hailstone,10/28/2015,60:00:00,Grab,Stream,MED added artificial times and type assignments,-15.79,-121.4,105.286414376321,6.7938,12.5783,5.36006944308025,4.65080198246918,6.69223925135614,0.00158116084064785,1.02305256904255,22.9872579139724,0.0237733992248409,0.0989714314432668,Replaced any <DL limit values with NA
12276,PR Soapstone,11/24/2015,84:00:00,Grab,Stream,MED added artificial times and type assignments,-15.09,-115.7,13.3,1.9631,2.4956,1.394,1.20997156504985,1.13553255663278,0.00755114913027836,0.282030926561514,3.14609252360338,0.00756367144338419,0.0329737953034023,Replaced any <DL limit values with NA
12277,PR Woodland,11/24/2015,108:00:00,Grab,Stream,MED added artificial times and type assignments,-15.64,-124.4,111.5,3.231,15.201,4.142,2.96097726986285,7.26649678354572,0.00243841433998682,0.816618187771156,26.8975439408398,0.00675448709854107,0.0369857146377828,Replaced any <DL limit values with NA
12278,PR Hailstone,11/24/2015,132:00:00,Grab,Stream,MED added artificial times and type assignments,-16.5,-123.8,137.4,6.1798,13.9043,4.688,4.31721240869589,7.9447948496239,0.00114083737279719,0.905185824760946,27.6047165738758,0.0268786248856865,0.0933894031019001,Replaced any <DL limit values with NA
12317,PR Soapstone,01/14/2016,156:00:00,Grab,Stream,MED added artificial times and type assignments,-15.77,-117.7,14.7,1.67715,2.49065,1.619,1.25843796026819,1.15334553576956,0.00859401336146975,0.349680504182384,3.21431039502083,0.00658797534237595,0.0380824932024981,Replaced any <DL limit values with NA
12318,PR Woodland,01/14/2016,180:00:00,Grab,Stream,MED added artificial times and type assignments,-15.85,-124.4,112.5,3.5027,16.62265,4.5,2.87838169036967,6.95696562630472,0.00193926551650599,0.822799398160166,26.1957969265683,0.00616872178019691,0.0196461369281834,Replaced any <DL limit values with NA
12319,PR Hailstone,01/14/2016,204:00:00,Grab,Stream,MED added artificial times and type assignments,-15.69,-124.2,125.3,7.626,14.4006,5.754,5.28882633089297,6.93368553074544,0.000761318653465032,0.979728035958468,25.6628204665454,0.0338067119801233,0.0378766834918302,Replaced any <DL limit values with NA
12402,PR Soapstone,03/08/2016,228:00:00,Grab,Stream,MED added artificial times and type assignments,-15.06,-119.2,15,2.225,2.4618,1.598,2.17431889955944,1.40722226252032,0.065044051979088,0.390822043802174,3.57586709262148,0.0113757026521091,0.0717416137422924,Replaced any <DL limit values with NA
