Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes
RI23-1045,Hungerford,03/24/2023,6:00,Grab/Isco,Stream,need to verify type,,0.08077854,0.016478641,0.001618506,-0.004675616,1.93749579,3.521961346,0.081382157,4.512128753,8.880117915,0.010276739,32.494865,,15.6507,0.4176,,14.982,1.6902,10.9762,,,-76.547,-11.181,
RI23-1046,Hungerford,03/24/2023,12:00,Grab/Isco,Stream,need to verify type,,0.072228406,0.016830778,0.001902061,-0.010791868,1.908819986,2.96392154,0.040785095,4.837448353,10.00248854,-0.019364421,34.33453007,,18.1573,0.4196,,17.189,1.9329,12.9516,,,-76.522,-11.338,
RI23-1047,Hungerford,03/24/2023,15:45,Grab/Isco,Stream,need to verify type,,0.075957227,0.021075545,0.000526145,-0.007462477,1.94896771,3.364936999,0.072485834,5.403369305,11.22325547,0.007976315,32.69219822,,19.1642,0.4227,,17.7692,,13.8515,,,-76.275,-11.287,
RI23-1053,Hungerford,03/24/2023,18:00,Isco,Stream,,,0.004163568,-0.001038763,-0.001625643,-0.006980813,0.959055888,0.25321913,-0.011485446,0.325280784,-0.890869138,0.05407208,2.338133113,,1.2725,0.4264,,2.517,1.7481,2.6654,,same sample as ISO23-158,-85.24,-12.526,
RI23-1054,Hungerford,03/25/2023,10:00,Isco/grab,Stream,need to verify type,,,,,,,,,,,,,,,,,,,,,,-74.938,-10.741,
RI23-1085,Hungerford,03/31/2023,14:00,Grab/Isco,Stream,need to verify type,,0.060061922,0.017483861,0.000458481,-0.009881379,1.922939017,1.907550724,0.020223105,6.349480788,14.15258709,-0.061110235,44.48903756,0.0186,26.0618,,,12.1689,2.411,17.2364,,,-73.371,-11.14,
RI23-1086,Hungerford,03/31/2023,20:00,Grab/Isco,Stream,need to verify type,,0.068862419,0.016706546,0.000210625,-0.012719974,1.800990001,1.855667937,0.011242127,6.264499671,14.19304238,-0.042525829,38.66925221,,25.8124,0.581,,12.3425,2.4068,17.219,,,-73.302,-10.999,
RI23-1087,Hungerford,04/1/2023,2:00,Grab/Isco,Stream,need to verify type,,0.073389681,0.033095115,-0.000588859,-0.005107211,1.717275929,2.125236892,0.046927467,6.874166194,14.48239014,-0.02589841,37.27422707,,26.5332,0.5784,,12.5094,2.4881,17.9355,,,-73.286,-10.867,
RI23-1088,Hungerford,04/1/2023,8:00,Grab/Isco,Stream,need to verify type,,0.070637424,0.020082108,0.00050659,-0.012105197,1.691012978,2.037879893,0.014196681,6.473914354,15.00412892,-0.048246078,42.02868815,,26.9716,0.5792,0.8873,12.1715,2.4636,17.6921,,,-73.13,-10.889,
RI23-1089,Hungerford,04/1/2023,14:00,Grab/Isco,Stream,need to verify type,,0.09371576,0.022349993,0.000771412,0.012555797,1.92348851,3.179864224,0.085974481,6.329468583,13.72267556,0.036606383,38.94465603,0.0105,25.3363,,,9.2361,2.469,15.9516,,,-71.721,-10.743,
RI23-1090,Hungerford,04/1/2023,20:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.0095,24.71,,,7.9897,2.4559,14.2168,,,-71.931,-10.744,
RI23-1091,Hungerford,04/2/2023,2:00,Grab/Isco,Stream,need to verify type,,0.083669189,-0.00226064,0.00045717,-0.011512518,1.800713462,1.923754303,0.00481706,4.965463844,11.85698455,-0.001827759,28.6246763,0.0168,21.4189,,,7.5566,2.3503,12.648,,,-73.063,-10.739,
RI23-1092,Hungerford,04/2/2023,8:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.0245,18.4941,0.5759,,7.3462,2.3953,12.1689,,,-73.732,-10.545,
RI23-1099,Hungerford,04/11/2023,13:30,Grab/Isco,Stream,need to verify type,,0.068305274,0.026475289,-0.000849062,-0.005995976,1.168095632,2.257125662,0.036872676,6.879177807,16.28033444,-0.019193651,40.23150622,,31.0924,0.5819,,12.7652,2.4245,18.4906,,,-68.677,-9.988,
