Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes
RI23-1006,Wade,02/10/2023,13:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.137212689,1.901304161,,,2.633325453,1.593012871,6.720393662,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-80.253,-12.024,
RI23-1009,Wade,02/15/2023,15:00,Grab/Isco,Stream,need to verify type,,-0.000368339,-0.013919312,0.000669407,0.087810647,1.348993671,0.06050381,-0.0430525,0.492410853,-0.692260425,0.001906674,3.817650163,,1.958206135,,,2.365147881,,8.192964126,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-78.421,-11.844,
RI23-1010,Wade,02/15/2023,19:00,Grab/Isco,Stream,need to verify type,,0.015831472,-0.000334966,-0.001383981,0.084259266,1.297124953,0.251027006,-0.016190683,0.484988789,-0.724194527,0.031647044,3.482074529,,1.969762242,,,2.337740572,,8.039079548,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-78.932,-11.876,
RI23-1011,Wade,02/15/2023,23:00,Grab/Isco,Stream,need to verify type,,0.015128181,-0.00022341,-0.001005024,0.06562293,1.252658832,0.267325425,-0.018118794,0.44223053,-0.702899646,0.037399116,3.287053757,,1.928914173,,,2.370623019,1.60495193,7.654232692,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-79.978,-12.027,
RI23-1012,Wade,02/16/2023,3:00,Grab/Isco,Stream,need to verify type,,0.009929402,-0.005332153,-0.000275806,-0.008026478,1.009174369,0.025900186,-0.045117738,0.366981591,-0.830649204,0.017792738,2.816430098,,1.847234257,,,2.335431894,1.596832912,7.121828352,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-81.829,-12.071,
RI23-1013,Wade,02/16/2023,7:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,0.082762811,1.825491289,,,2.380357969,1.599586788,6.799209333,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-83.418,-12.43,
RI23-1014,Wade,02/16/2023,11:00,Grab/Isco,Stream,need to verify type,,0.006730345,-0.013612768,-0.000215375,-0.007393023,0.987823986,0.011488276,-0.045223492,0.370514021,-0.814827157,0.030815664,2.791172314,,1.826587993,,1.564433136,2.427248866,1.600097968,6.946511437,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-82.863,-12.35,
RI23-1025,Wade,02/15/2023,12:00,Grab,Stream,need to verify type,,0.016031573,0.004307287,-0.001298871,0.074909673,1.327972174,0.239991482,-0.02314997,0.463008907,-0.73109936,0.033283942,3.486294451,,,,,,,,,,-78.111,-11.784,
RI23-1028,Wade,02/16/2023,14:00,Grab/Isco,Stream,need to verify type,,0.000784369,-0.000537032,-0.00133881,-0.004806816,0.103439309,0.239877847,-0.023028727,0.36110916,-0.798507185,0.012107569,2.673882905,,0.948,0.4168,,2.0177,,3.3358,,,-82.344,-12.322,
RI23-1029,Wade,02/16/2023,20:00,Grab/Isco,Stream,need to verify type,,-0.012384247,-0.008662746,-0.000313138,-0.011986366,0.227336303,0.037369845,-0.049723206,0.354200029,-0.811686654,-0.011236236,2.688623583,,0.939,,,1.6933,,3.3321,,,-82.319,-12.33,
