Sample ID,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes
RI23-5011,NA,1.736025708,NA,NA,2.568172804,NA,4.574632908,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.
RI23-5012,NA,1.683677649,NA,NA,1.866062816,1.611530471,2.994068894,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.
RI23-5013,NA,2.949201663,NA,NA,12.1266859,1.574413501,6.914068453,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.
RI23-5014,NA,4.065669151,NA,1.557410743,45.91070652,1.547171644,16.30907021,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.
RI23-5015,0.032667482,1.875389224,NA,NA,2.371766064,NA,7.659225474,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.
RI23-5016,0.04061602,1.69918818,0.796777766,NA,2.439743042,1.614174956,2.892481031,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.
RI24-1001,NA,1.7943,NA,0.9015,2.2575,NA,3.0983,
RI24-1003,NA,1.5105,NA,NA,2.166,2.2109,3.1313,
RI24-1006,NA,1.4975,NA,NA,2.1475,2.1666,3.2742,
RI24-1008,NA,20.7365,0.5744,0.8971,7.4859,2.4215,13.4782,
RI24-1009,NA,356.2969,NA,0.9175,4.0947,NA,20.9701,
RI24-1010,NA,328.3752,NA,0.9148,3.7451,NA,20.3141,
RI24-1012,NA,328.36,NA,0.9172,3.74,NA,19.5137,
RI24-1014,NA,326.6617,NA,0.9144,3.6289,NA,18.9303,
RI24-1015,NA,317.5978,NA,NA,3.5873,NA,19.569,
RI24-1016,NA,262.8609,NA,NA,3.186,NA,15.9284,
RI24-1018,NA,365.6872,NA,0.915,3.3178,NA,18.1307,
RI24-1019,NA,314.4854,NA,0.9178,3.2499,NA,18.111,
RI20-0085,NA,0.228532,NA,NA,NA,NA,NA,"Ravindra2020_3151HazensNotchRd, WB-DWG-1 NO3-N SO4-S and PO4-P also in orginal spreadsheet"
