Sample ID,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L
RI23-1067,,0.005751086,-0.001594801,-0.000460474,-0.008715731,1.556659486,0.26567925,-0.027139243,0.494133521,-0.682421335,0.02795452,3.675777001
RI23-1068,,0.007588714,0.001398657,-0.000993251,-0.007581166,1.402101091,0.258908585,-0.018561022,0.522499145,-0.68582992,0.021494264,3.749329624
RI23-1070,,0.02173889,0.000697066,-0.001176202,-0.008137154,1.010726775,0.269050581,-0.01891766,0.360545045,-0.82391887,0.046167978,2.817128657
RI23-1071,,0.017966364,-0.000899831,0.000071504,-0.008163888,0.998054911,0.258750119,-0.015558634,0.332864429,-0.854569356,0.058083936,2.694121633
RI23-1072,,0.012735074,-0.001379975,-0.001208088,-0.008036699,1.021814584,0.242394853,-0.0170764,0.366685728,-0.796555265,0.057991194,2.809760334
RI23-1073,,0.008768052,-0.001134997,-0.001257182,-0.007673665,1.096390215,0.228079413,-0.01959113,0.373492947,-0.772736884,0.047372034,2.852341465
RI23-1074,,0.010919397,0.009923653,-0.001405038,-0.007688091,1.279718809,0.245479163,-0.009385169,0.396460512,-0.747720014,0.049405371,2.996397878
RI23-1075,,-0.002557897,-0.016453343,0.000455748,-0.014389707,1.268876633,0.04061056,-0.048028714,0.413744815,-0.79203917,0.021207666,3.183534821
RI23-1076,,0.07447189,0.01382469,0.000762524,-0.012692266,1.741049428,1.760903075,0.000524982,5.979822784,13.07524376,-0.035291324,38.25994969
RI23-1077,,-0.001128697,-0.016263509,-0.00000495159,0.304437855,1.351217087,0.015507078,-0.045805235,0.392955423,-0.849758607,0.021340273,2.886000661
RI23-1078,,0.011288704,-0.001067489,-0.001309167,0.052094637,1.130374338,0.266937275,-0.017656168,0.422942735,-0.781042138,0.036524847,3.087491001
RI23-1080,,-0.006015248,-0.01679581,0.0000910232,0.007496276,1.0213899,0.041539688,-0.046511003,0.401037267,-0.832124948,0.006182841,3.115862819
RI23-1081,,-0.003036492,-0.007410095,0.000244656,-0.00064442,1.113853289,0.047755516,-0.042345271,0.402501267,-0.806651462,0.010775109,3.067938873
RI23-1082,,0.013863985,-0.015068444,0.000709343,-0.007303387,0.838482332,0.087136672,-0.054591578,0.251554121,-0.988471588,0.058664107,2.095150301
RI23-1085,,0.060061922,0.017483861,0.000458481,-0.009881379,1.922939017,1.907550724,0.020223105,6.349480788,14.15258709,-0.061110235,44.48903756
RI23-1086,,0.068862419,0.016706546,0.000210625,-0.012719974,1.800990001,1.855667937,0.011242127,6.264499671,14.19304238,-0.042525829,38.66925221
RI23-1087,,0.073389681,0.033095115,-0.000588859,-0.005107211,1.717275929,2.125236892,0.046927467,6.874166194,14.48239014,-0.02589841,37.27422707
RI23-1088,,0.070637424,0.020082108,0.00050659,-0.012105197,1.691012978,2.037879893,0.014196681,6.473914354,15.00412892,-0.048246078,42.02868815
RI23-1089,,0.09371576,0.022349993,0.000771412,0.012555797,1.92348851,3.179864224,0.085974481,6.329468583,13.72267556,0.036606383,38.94465603
RI23-1091,,0.083669189,-0.00226064,0.00045717,-0.011512518,1.800713462,1.923754303,0.00481706,4.965463844,11.85698455,-0.001827759,28.6246763
RI23-1093,,0.00863596,-0.000980345,-0.000832858,-0.003494147,1.150045414,0.241614625,-0.021311297,0.364991639,-0.80725895,0.043509883,2.786990661
RI23-1094,,0.007476417,0.000206288,-0.001158914,-0.005412438,1.017872869,0.245271537,-0.016455663,0.357069259,-0.84219619,0.038871603,2.698008937
RI23-1095,,0.000523073,-0.01474231,-0.000116398,-0.002091972,0.976825194,0.002551917,-0.04345004,0.307319519,-0.875760075,0.022753804,2.460775089
RI23-1096,,0.009029928,-0.000673684,-0.001201484,0.001432663,0.947297288,0.231896354,-0.014212064,0.294665178,-0.869760777,0.066334377,2.411926803
RI23-1097,,-0.005308506,-0.015564569,-0.0000026658,-0.009873745,0.859895617,0.026292909,-0.047404996,0.287033152,-0.889368313,0.027770743,2.290268873
RI23-1098,,-0.008248453,0.002126952,-0.000754594,-0.003791454,0.185059359,0.353835338,-0.020866083,0.132893103,-1.12178083,0.011761921,0.566001164
RI23-1099,,0.068305274,0.026475289,-0.000849062,-0.005995976,1.168095632,2.257125662,0.036872676,6.879177807,16.28033444,-0.019193651,40.23150622
RI23-1100,,-0.003002955,-0.015022065,0.000546942,-0.004406859,0.733681535,0.050678134,-0.046811064,0.227469347,-0.949228025,0.045719201,1.923157102
RI23-1101,,0.005325502,-0.014964109,0.000660561,-0.007599487,0.659190765,0.046483474,-0.050560379,0.228322849,-0.967000136,0.075819377,1.820530903
RI23-5000,WD_lysmtr_021523,0.091445162,0.005409173,0.00021518,0.01622452,0.429856652,0.380634415,-0.03678504,0.396151045,-1.016981079,0.38854617,0.577446065
RI23-5001,HF_wet_lysmtr_021523,0.09529109,0.000096409,-0.000284104,-0.003846345,1.878128524,0.59333239,-0.016290333,0.753155928,0.240985995,0.23388279,3.508331025
RI23-5002,HF_snow_lysmtr_021523 duplicate,0.000298482,-0.002068926,0.000646314,0.004475379,6.780331804,0.394923806,0.042204473,4.262023065,2.591937815,-0.010027985,29.03969809
RI23-5003,HF_dry_lysimtr_021523,-0.002137737,-0.017859021,0.002659136,-0.007235935,4.330232872,0.274426664,0.014075412,3.549444341,1.993341772,-0.021851568,26.67682151
RI23-5004,WD_snow_021523,-0.023113687,-0.015549119,-0.000157782,0.00247053,-0.148588935,-0.030691816,-0.050474293,0.010751893,-1.13914081,-0.013698645,0.111409852
RI23-5005,WD_snow_lysmtr_021523,-0.007382155,0.002961813,0.000567562,-0.001676279,0.18544433,0.483999523,-0.016724087,0.210295175,-0.778613816,0.017610823,0.764609235
RI23-5006,High_Pond_031023 is it march 1st or 10th,-0.008999159,-0.003347686,-0.000665278,-0.000761201,1.883644279,0.28598758,-0.019510879,0.425312813,-0.282933665,0.00428736,6.847131002
RI23-5007,HF_lysmtr_031623,0.001259766,-0.003616,0.002715958,0.070260979,5.670058776,0.398317765,0.053965725,3.957421357,2.429970389,-0.003272506,28.61340414
RI23-5008,Mark_well_031623,-0.017935714,0.045289908,0.035849962,0.029241819,7.648743775,4.438201407,0.354392502,26.4284451,21.02279844,-0.131898869,105.9045741
RI23-5009,WD_lysmtr_031623,0.10096043,0.00522485,0.001129239,0.108481069,0.60254712,0.49268935,-0.046166885,0.334881921,-1.21894769,0.415918292,0.536311389
RI23-5010,WD_precip_040323,-0.022544739,-0.01448515,0.000587156,-0.010980137,-0.144439162,-0.027036361,-0.052428058,0.017803848,-1.30920825,-0.013028316,0.249147493
RI23-5011,WD_wet_soil_lysmtr_041223,0.082653033,-0.004535385,0.000748952,0.021643975,1.278977223,0.263231596,0.014790138,0.327921653,-0.858380191,0.560487803,1.446107084
RI23-5012,WD_snow_lysmtr_041223,-0.008273062,0.002046988,-0.000656611,-0.004107606,-0.028675877,0.305076369,-0.028291631,0.065905561,-1.194941614,0.011608069,0.412953444
RI23-5015,WD_Dry_Soil_lysmtr_041223,0.153221701,0.014861713,-0.000743169,0.015333167,0.48408665,0.713193824,-0.017088439,0.27432885,-1.13668387,0.479294052,0.591529624
RI23-5016,HF_precip_040323 is it the 13th or 3rd,-0.020821107,-0.013363886,0.000380363,-0.011714672,-0.139008495,-0.008695012,-0.048778993,0.044667205,-1.235974904,-0.01388081,0.701516215
RI23-5017,HF_snow_lysmtr_041223,0.135571269,-0.012624602,0.000890065,-0.006579529,3.132389271,0.443414038,-0.035219578,0.933349867,0.260326343,0.26257316,4.436051514
RI23-5018,Bear_Pond_031023,-0.006055875,-0.003026873,-0.001228727,-0.005499911,1.689151505,0.181631256,-0.01777371,0.831397948,-0.548253279,0.015540279,5.788055452
RI20-0085,Ravindra2020_3151HazensNotchRd,0.0168857492626605,0.00245375203424652,0.00867464113570453,0.0291481198982891,6.13372031077012,0.445173310440814,,4.65934795598839,3.37768755574607,0.000681018176922698,15.608014678353
