water year,storm_id,start,end,tot_q_m3,tot_constit_mgN,duration_hrs,water_yield_mm,constit_yield_mm,intensity_m3_hr,cumulative_NO3,cumulative water mm,cumulative NO3 mm
2022,storm_1,2021-12-02 16:30:00,2021-12-06 08:00:00,473577.4211589,4610288289.91389,90,28.3579294107126,276.065167060712,5261.97134621,4610288289.91389,28.3579294107126,276.065167060712
2022,storm_28,2022-02-17 11:15:00,2022-03-06 14:00:00,2071728.0784404,5297536465.76144,172.5,124.055573559305,317.217752440805,12010.0178460313,9907824755.67533,152.413502970018,593.282919501517
2022,storm_29,2022-03-06 14:00:00,2022-03-11 19:30:00,537918.2080488,1177417386.96931,60.75,32.2106711406467,70.5040351478627,8854.62070862222,11085242142.6446,32.2106711406467,70.5040351478627
2022,storm_30,2022-03-16 18:00:00,2022-03-24 06:00:00,8016622.5373407,28233910617.4511,619.25,480.037277685072,1690.6533303863,12945.6964672438,39319152760.0957,480.037277685072,1690.6533303863
2022,storm_31,2022-03-24 06:00:00,2022-03-31 16:00:00,1323373.5741123,6364415580.63492,147,79.2439265935509,381.102729379337,9002.54132049184,45683568340.7307,231.657429563568,974.385648880854
2022,storm_32,2022-03-31 16:00:00,2022-04-06 18:15:00,1102776.2463672,5655937163.50501,151,66.034505770491,338.678872066168,7303.15394945166,51339505504.2357,98.2451769111377,409.182907214031
2022,storm_33,2022-04-06 18:15:00,2022-04-11 18:00:00,311556.0925107,1091787939.60769,41.75,18.6560534437545,65.3765233298018,7462.4213775018,52431293443.8434,498.693331128827,1756.0298537161
2022,storm_2,2022-04-11 18:00:00,2022-04-18 19:15:00,1672058.4588423,7813319118.3852,174,100.123261008521,467.863420262587,9609.5313726569,60244612562.2286,331.780690572089,1442.24906914344
2022,storm_3,2022-04-18 19:15:00,2022-04-21 17:15:00,1052920.5982146,3874357543.78952,72.5,63.0491376176407,231.997457711947,14523.0427339945,64118970106.0181,161.294314528778,641.180364925978
2022,storm_4,2022-04-21 17:15:00,2022-04-25 18:15:00,778191.2466489,3212926683.4232,100.25,46.5982782424491,192.390819366659,7762.50620098653,67331896789.4413,545.291609371276,1948.42067308276
2022,storm_5,2022-04-25 18:15:00,2022-05-01 16:30:00,939709.4903244,3125709516.74075,148.5,56.2700293607425,187.168234535374,6328.01003585455,70457606306.182,388.050719932832,1629.41730367881
2022,storm_6,2022-05-01 16:30:00,2022-05-14 22:15:00,1301434.5767499,3886609584.25345,327.5,77.9302141766407,232.731112829548,3973.84603587756,74344215890.4355,239.224528705419,873.911477755526
2022,storm_7,2022-05-14 22:15:00,2022-05-21 21:30:00,1357295.7709683,5177946252.40746,170.5,81.2751958663653,310.056661820806,7960.67900861173,79522162142.843,626.566805237641,2258.47733490357
2022,storm_8,2022-05-21 21:30:00,2022-05-27 05:15:00,573269.9160312,2179704752.36892,134,34.3275398821078,130.521242656822,4278.13370172537,81701866895.2119,422.37825981494,1759.93854633564
