"","Fe_mg_L","Mn_mg_L","Cu_mg_L","Zn_mg_L","Si_mg_L","K_mg_L","P_mg_L","Mg_mg_L","Na_mg_L","Al_mg_L","Ca_mg_L","Fl_mg_L","Cl_mg_L","NO2_mg_L","Br_mg_L","NO3_mg_L","PO4_mg_L","SO4_mg_L","dD","d18O"
"Ca_mg_L",0.20376541114826,0.299767404664395,-0.275513113314804,0.149201808120443,0.647998665364027,0.273258132256194,0.287996379076751,0.990275735705293,0.93583928619891,-0.580871572107841,1,NA,0.0407054731629041,-0.344866981814228,-1,-0.535723051892825,-0.410239646029089,0.459533890367139,0.55698024290136,0.44638482873731
"Fl_mg_L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,-1,-1,1,1
"Cl_mg_L",0.0999176330284732,-0.195695090341779,0.263575776900012,0.420554865383773,0.314161880062917,-0.238435905617842,-0.197000542453524,-0.00472717264373699,-0.0413977290331483,0.0490621325289042,0.0407054731629041,1,1,0.620177027483777,1,0.491675727182468,0.347271829199872,0.697961041335006,0.199279005618124,0.202018338797418
"NO2_mg_L",-0.457844507185435,-0.443655198759807,0.47080886894257,0.0598855726058721,-0.289298762672061,-0.520299745748191,-0.506565744812425,-0.393264282111844,-0.470062640471853,-0.089235983890376,-0.344866981814228,NA,0.620177027483777,1,NA,0.128063251993679,0.803457880798323,-0.3069100468045,-0.0424632971603211,0.087209954949531
"Br_mg_L",1,-1,1,1,-1,-1,-1,-1,-1,1,-1,NA,1,NA,1,1,-1,1,-1,-1
"NO3_mg_L",-0.0139414434840737,-0.123751288865591,0.0333622931830639,0.0941979485057725,-0.109441046081288,-0.0781743228548945,-0.128408811412132,-0.507094195068142,-0.436205283512897,0.554389221725928,-0.535723051892825,1,0.491675727182468,0.128063251993679,1,1,0.224694800364804,0.210759152821245,-0.198125562770467,-0.0921924099731695
"PO4_mg_L",-0.0963901101074097,-0.0882016908356337,0.288079578176982,0.0585125821041491,-0.143228204058423,-0.120746096905735,-0.160922983822992,-0.454477116446556,-0.475212238912214,0.312231949314459,-0.410239646029089,-1,0.347271829199872,0.803457880798323,-1,0.224694800364804,1,-0.404830706624227,-0.384901733868718,-0.29037315478466
"SO4_mg_L",0.0985604701176174,0.00672636305027315,0.0131043592648742,0.28152632499482,0.283230034457567,-0.0699811476139599,-0.0168417980706748,0.43654163581327,0.432371208866287,-0.341812866384274,0.459533890367139,-1,0.697961041335006,-0.3069100468045,1,0.210759152821245,-0.404830706624227,1,0.642264891802853,0.545777156454778
"dD",0.0508528519239779,0.227567768874842,-0.216254104037963,0.2438252239796,0.101590345158976,0.156646030170408,0.154029739569109,0.56758570588967,0.557504627623432,-0.513362858464007,0.55698024290136,1,0.199279005618124,-0.0424632971603211,-1,-0.198125562770467,-0.384901733868718,0.642264891802853,1,0.902833063375797
"d18O",0.00368725834188434,0.110503258459176,-0.136087243000138,0.176437038634407,0.114681920052667,0.0879250777929079,0.0377191112723231,0.467911832715468,0.421500064822243,-0.431475568775845,0.44638482873731,1,0.202018338797418,0.087209954949531,-1,-0.0921924099731695,-0.29037315478466,0.545777156454778,0.902833063375797,1
