"","Fe_mg_L","Mn_mg_L","Cu_mg_L","Zn_mg_L","Si_mg_L","K_mg_L","P_mg_L","Mg_mg_L","Na_mg_L","Al_mg_L","Ca_mg_L","Fl_mg_L","Cl_mg_L","NO2_mg_L","Br_mg_L","NO3_mg_L","PO4_mg_L","SO4_mg_L","dD","d18O"
"Fe_mg_L",1,0.584904644235342,-0.435081246613931,-0.035059011567547,0.500079884483625,0.605833982790605,0.588050064609151,0.213406169008517,0.218331465468668,0.518796028536321,0.20376541114826,NA,0.0999176330284732,-0.457844507185435,1,-0.0139414434840737,-0.0963901101074097,0.0985604701176174,0.0508528519239779,0.00368725834188434
"Mn_mg_L",0.584904644235342,1,-0.835392936634013,-0.104839710274907,0.173288463544003,0.909790467596156,0.922702291132844,0.337578916284788,0.49998269617752,0.252863559822537,0.299767404664395,NA,-0.195695090341779,-0.443655198759807,-1,-0.123751288865591,-0.0882016908356337,0.00672636305027315,0.227567768874842,0.110503258459176
"Cu_mg_L",-0.435081246613931,-0.835392936634013,1,0.0350341721812255,-0.152587491089845,-0.840735059366662,-0.850388377482703,-0.338825302627127,-0.480001920893755,-0.191714131574247,-0.275513113314804,NA,0.263575776900012,0.47080886894257,1,0.0333622931830639,0.288079578176982,0.0131043592648742,-0.216254104037963,-0.136087243000138
"Zn_mg_L",-0.035059011567547,-0.104839710274907,0.0350341721812255,1,0.218531726433089,-0.100725746717075,-0.0592490439693008,0.15336452987833,0.0743119176450058,-0.109174331527955,0.149201808120443,NA,0.420554865383773,0.0598855726058721,1,0.0941979485057725,0.0585125821041491,0.28152632499482,0.2438252239796,0.176437038634407
"Si_mg_L",0.500079884483625,0.173288463544003,-0.152587491089845,0.218531726433089,1,0.19871130884349,0.200949461758796,0.632883157250285,0.506697257143838,0.0295828586917327,0.647998665364027,NA,0.314161880062917,-0.289298762672061,-1,-0.109441046081288,-0.143228204058423,0.283230034457567,0.101590345158976,0.114681920052667
"K_mg_L",0.605833982790605,0.909790467596156,-0.840735059366662,-0.100725746717075,0.19871130884349,1,0.941470220931257,0.318712381102248,0.465005479222298,0.358045792085164,0.273258132256194,NA,-0.238435905617842,-0.520299745748191,-1,-0.0781743228548945,-0.120746096905735,-0.0699811476139599,0.156646030170408,0.0879250777929079
"P_mg_L",0.588050064609151,0.922702291132844,-0.850388377482703,-0.0592490439693008,0.200949461758796,0.941470220931257,1,0.329831652061759,0.479232041313453,0.294666355267869,0.287996379076751,NA,-0.197000542453524,-0.506565744812425,-1,-0.128408811412132,-0.160922983822992,-0.0168417980706748,0.154029739569109,0.0377191112723231
"Mg_mg_L",0.213406169008517,0.337578916284788,-0.338825302627127,0.15336452987833,0.632883157250285,0.318712381102248,0.329831652061759,1,0.946261830558658,-0.562131392444128,0.990275735705293,NA,-0.00472717264373699,-0.393264282111844,-1,-0.507094195068142,-0.454477116446556,0.43654163581327,0.56758570588967,0.467911832715468
"Na_mg_L",0.218331465468668,0.49998269617752,-0.480001920893755,0.0743119176450058,0.506697257143838,0.465005479222298,0.479232041313453,0.946261830558658,1,-0.485794067063225,0.93583928619891,NA,-0.0413977290331483,-0.470062640471853,-1,-0.436205283512897,-0.475212238912214,0.432371208866287,0.557504627623432,0.421500064822243
"Al_mg_L",0.518796028536321,0.252863559822537,-0.191714131574247,-0.109174331527955,0.0295828586917327,0.358045792085164,0.294666355267869,-0.562131392444128,-0.485794067063225,1,-0.580871572107841,NA,0.0490621325289042,-0.089235983890376,1,0.554389221725928,0.312231949314459,-0.341812866384274,-0.513362858464007,-0.431475568775845
