Principal Component 1,Principal Component 2
-3.649933667318098,0.9812517096137042
-2.9600522852742257,1.1702951378841915
-2.345833839275116,0.8969245853804151
-0.2461020824379638,1.5092775815907542
-0.01813782166635305,0.8545598366273147
-2.948615080932136,1.5683552205117
0.1544992384302371,1.1739544958512553
0.1544992384302371,1.1739544958512553
-0.02824259890288625,1.0205830759222216
-0.02824259890288625,1.0205830759222216
0.1544992384302371,1.1739544958512553
0.1544992384302371,1.1739544958512553
-0.02824259890288625,1.0205830759222216
-0.02824259890288625,1.0205830759222216
0.08693505049607728,1.090227034353076
-0.7736823876952971,0.6970100288613309
-0.3858883483326334,1.1132617142459844
-0.8073768636333173,1.5156138191051303
-2.98824712259366,0.1591375038786048
-3.493645604649033,-0.4355846794401871
-2.494720321330303,0.19557811016982315
-2.5498859981568,-0.8555985912946571
3.497031206673446,0.7529537926419405
2.2820661923789265,0.8784817553392749
2.721371457251903,0.7009348088520095
1.943115396586465,0.11469777411650635
1.8207702566907764,0.9339084758919357
2.462280621171007,-0.842246733371527
-0.5837341997601374,-1.800406237713337
1.3235071673721082,-0.7378593296707759
-0.5837341997601374,-1.800406237713337
1.3235071673721082,-0.7378593296707759
-3.2617433477415974,-0.37517695049886385
-2.130330061768477,0.49621131636174337
-2.749546439218823,-0.352141662837048
-2.758821813591829,-0.2939930474275591
-3.148596405749755,-0.19029069061069018
1.129927225872762,-0.8908398908947762
1.999247852524453,-1.2607356211797767
1.2408373959196914,-1.6228661909621447
0.8662886338960682,-1.609542772806601
0.29630960454085775,-1.8391780028639961
0.29630960454085775,-1.8391780028639961
0.34573052756241757,-1.7840222939527035
0.34573052756241757,-1.7840222939527035
0.29630960454085775,-1.8391780028639961
0.29630960454085775,-1.8391780028639961
0.34573052756241757,-1.7840222939527035
0.3457305275624175,-1.7840222939527035
0.28947831719076794,-1.6768692251584207
0.3552723392980813,0.20139650104021842
-0.2589550167858325,-0.8042421714181452
0.03989131529037698,-0.18104721208271743
-0.0047014980774229016,-0.3900770069086022
2.1044508211976205,3.2412626080623688
0.3977376803108055,0.1489545632575521
0.6612185982286252,0.5536230522032181
1.6921188947886712,0.5938945045277885
2.243106946534526,0.5670338152912889
3.521487748561343,1.0457802566297953
4.067449033619835,0.5918089753951671
