Ca_mg_L,Si_mg_L,Mg_mg_L,dD,d18O,Group,Type,Date,PC1,PC2
3.817650163,1.348993671,0.492410853,-78.421,-11.844,Streamwater,Streamwater,2023-02-15,2.2597792778409014,0.2605454621087716
3.482074529,1.297124953,0.484988789,-78.932,-11.876,Streamwater,Streamwater,2023-02-15,1.9953648545171916,0.32324118827441994
3.287053757,1.252658832,0.44223053,-79.978,-12.027,Streamwater,Streamwater,2023-02-15,1.5589640223940973,0.29446494641130366
2.816430098,1.009174369,0.366981591,-81.829,-12.071,Streamwater,Streamwater,2023-02-16,0.7155446002871944,0.5968667564881722
2.791172314,0.987823986,0.370514021,-82.863,-12.35,Streamwater,Streamwater,2023-02-16,0.4544446691344794,0.2835291142049555
3.486294451,1.327972174,0.463008907,-78.111,-11.784,Streamwater,Streamwater,2023-02-15,2.0697648193541753,0.5087710511074836
2.673882905,0.103439309,0.36110916,-82.344,-12.322,Streamwater,Streamwater,2023-02-16,-0.36943412165500916,1.1843460079843098
2.688623583,0.227336303,0.354200029,-82.319,-12.33,Streamwater,Streamwater,2023-02-16,-0.27718917889692385,1.0866746241730252
2.853083243,0.20634927,0.389891339,-81.816,-12.347,Streamwater,Streamwater,2023-02-17,-0.0769070330200516,1.0086506234590735
2.819701444,0.229726952,0.379438037,-81.36,-12.34,Streamwater,Streamwater,2023-02-17,-0.06277015959355038,1.0732397103130933
2.853683177,0.635231917,0.386433348,-80.657,-12.075,Streamwater,Streamwater,2023-02-17,0.5520848121395855,0.9754803205561601
3.704749272,1.74915951,0.522326467,-81.364,-12.059,Streamwater,Streamwater,2023-03-22,2.316277419176604,-0.6073454706515267
3.795325214,1.53378395,0.530668398,-81.686,-12.15,Streamwater,Streamwater,2023-03-22,2.1060908463491357,-0.5656756753784439
3.653853345,1.401155993,0.497981403,-82.125,-12.072,Streamwater,Streamwater,2023-03-23,1.8252114937696724,-0.30968314594887103
3.670326488,1.355116177,0.491121858,-83.331,-12.424,Streamwater,Streamwater,2023-03-23,1.4665061725991804,-0.6588760069519719
1.867872901,0.708850205,0.243319308,-86.959,-12.866,Streamwater,Streamwater,2023-04-06,-1.2309342613506953,0.25141213343261487
2.106945786,0.746901547,0.273149495,-85.227,-12.67,Streamwater,Streamwater,2023-04-07,-0.7451480716288089,0.4140866265823167
2.038705967,0.810300966,0.270475505,-86.327,-12.739,Streamwater,Streamwater,2023-04-07,-0.8539010234332948,0.21744323073094649
2.23991129,0.894565102,0.31634171,-86.013,-12.881,Streamwater,Streamwater,2023-04-07,-0.5949428505737581,-0.10872377573367999
2.276254125,0.902582445,0.309640192,-85.28,-12.494,Streamwater,Streamwater,2023-04-07,-0.31646889470412615,0.28149880489932233
2.57239535,1.357753527,0.332811768,-88.665,-13.215,Streamwater,Streamwater,2023-03-24,-0.3966750393028427,-1.1617782913125363
3.396424541,1.347407362,0.462989455,-87.016,-13.038,Streamwater,Streamwater,2023-03-24,0.6014450361193522,-1.375903605767593
3.82448653,1.42321651,0.52096552,-83.194,-11.926,Streamwater,Streamwater,2023-03-31,1.9847783168581081,-0.4119172025621091
3.338583978,1.174642847,0.462208242,-82.174,-11.965,Streamwater,Streamwater,2023-03-31,1.429285175185331,0.13628193274255496
3.609337254,1.37680569,0.510926567,-82.71,-12.178,Streamwater,Streamwater,2023-03-31,1.7215813080583235,-0.4565572721960797
3.675777001,1.556659486,0.494133521,-82.631,-12.148,Streamwater,Streamwater,2023-04-01,1.8768872708182005,-0.5518756384899856
3.749329624,1.402101091,0.522499145,-81.928,-12.094,Streamwater,Streamwater,2023-04-01,1.9517377360574786,-0.39579743471844175
2.817128657,1.010726775,0.360545045,-86.996,-13.057,Streamwater,Streamwater,2023-04-01,-0.2930486640592039,-0.6935462435672045
2.694121633,0.998054911,0.332864429,-88.055,-13.392,Streamwater,Streamwater,2023-04-02,-0.7257124122861895,-0.9578779651657131
2.809760334,1.021814584,0.366685728,-87.78,-13.383,Streamwater,Streamwater,2023-04-02,-0.5144687754489945,-1.0604428200416283
2.852341465,1.096390215,0.373492947,-86.61,-13.449,Streamwater,Streamwater,2023-04-02,-0.3465492107922978,-1.0940452056577235
2.996397878,1.279718809,0.396460512,-86.264,-13.438,Streamwater,Streamwater,2023-04-02,-0.009360665457594721,-1.3054044652766739
3.183534821,1.268876633,0.413744815,-86.479,-13.355,Streamwater,Streamwater,2023-04-03,0.1424710976028035,-1.3358140836906112
2.886000661,1.351217087,0.392955423,-84.668,-12.58,Streamwater,Streamwater,2023-04-03,0.6190378502584103,-0.479194779735135
3.087491001,1.130374338,0.422942735,-84.596,-12.971,Streamwater,Streamwater,2023-04-03,0.38469070539378303,-0.7217417503285227
3.115862819,1.0213899,0.401037267,-84.909,-12.662,Streamwater,Streamwater,2023-04-04,0.37002874352816906,-0.35132887786153594
3.067938873,1.113853289,0.402501267,-85.309,-12.684,Streamwater,Streamwater,2023-04-05,0.39475870255519474,-0.48279572725338804
2.095150301,0.838482332,0.251554121,-81.023,-11.998,Streamwater,Streamwater,2023-04-05,-0.010584865584594984,1.350298434596291
2.786990661,1.150045414,0.364991639,-84.793,-12.564,Streamwater,Streamwater,2023-04-10,0.29966461327891886,-0.20509813385538128
2.698008937,1.017872869,0.357069259,-84.459,-12.484,Streamwater,Streamwater,2023-04-10,0.19044672908280894,0.049287565986141035
2.460775089,0.976825194,0.307319519,-85.437,-12.629,Streamwater,Streamwater,2023-04-10,-0.27435249358436553,0.05688698898832998
2.290268873,0.859895617,0.287033152,-86.183,-12.693,Streamwater,Streamwater,2023-04-11,-0.6155002218078303,0.12642518864673752
1.923157102,0.733681535,0.227469347,-86.889,-12.713,Streamwater,Streamwater,2023-04-11,-1.148912252260356,0.39182445922054054
1.820530903,0.659190765,0.228322849,-88.178,-12.949,Streamwater,Streamwater,2023-04-12,-1.494675652510103,0.15959082834774943
0.577446065,0.429856652,0.396151045,-93.641,-13.233,Endmember,Soil water lysimeter dry,2023-02-15,-2.225928790704699,-0.5794771681644171
0.111409852,-0.148588935,0.010751893,-87.32099999999998,-12.852833333333335,Endmember,Snow,2023-02-15,-3.520668260151755,1.9847081137195666
0.764609235,0.18544433,0.210295175,-109.383,-15.682,Endmember,Snowmelt lysimeter,2023-02-15,-5.711667864096597,-3.43357339036419
6.847131002,1.883644279,0.425312813,-76.119,-11.57,Endmember,Groundwater,2023-03-01,4.044599842516645,-0.2407292351844456
0.536311389,0.60254712,0.334881921,-89.934,-13.33,Endmember,Soil water lysimeter dry,2023-03-16,-2.0423629147005578,-0.278414246607589
0.249147493,-0.144439162,0.017803848,-87.824,-13.232,Endmember,Precip,2023-04-03,-3.6953260094761498,1.57372205113197
